credit,update,geometry,depth,width,task,seed,accuracy,interaction_i,mechanism_class,plasticity,status,source
ff,euclid,mlp,2,128,mnist,0,0.8299278846153846,0.0,goodness_contrast,null,promoted,w1_credit_ladder.log
ff,euclid,mlp,2,128,mnist,1,0.8216145833333334,0.0,goodness_contrast,null,promoted,w1_credit_ladder.log
ff,euclid,mlp,2,128,mnist,2,0.8246193910256411,0.0,goodness_contrast,null,promoted,w1_credit_ladder.log
ff,muon,mlp,2,128,mnist,0,0.8985376602564102,-0.031,goodness_contrast,null,promoted,w1_credit_ladder.log
ff,muon,mlp,2,128,mnist,1,0.8935296474358975,-0.031,goodness_contrast,null,promoted,w1_credit_ladder.log
ff,muon,mlp,2,128,mnist,2,0.8966346153846154,-0.031,goodness_contrast,null,promoted,w1_credit_ladder.log
pepita,euclid,mlp,2,128,mnist,0,0.08914262820512821,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
pepita,euclid,mlp,2,128,mnist,1,0.11528445512820513,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
pepita,euclid,mlp,2,128,mnist,2,0.09805689102564102,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
pepita,muon,mlp,2,128,mnist,0,0.2776442307692308,0.103,projected_pseudo,null,promoted,w1_credit_ladder.log
pepita,muon,mlp,2,128,mnist,1,0.30138221153846156,0.103,projected_pseudo,null,promoted,w1_credit_ladder.log
pepita,muon,mlp,2,128,mnist,2,0.3386418269230769,0.103,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,euclid,mlp,2,128,mnist,0,0.2766426282051282,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,euclid,mlp,2,128,mnist,1,0.2620192307692308,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,euclid,mlp,2,128,mnist,2,0.38651842948717946,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,muon,mlp,2,128,mnist,0,0.8680889423076923,0.446,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,muon,mlp,2,128,mnist,1,0.8700921474358975,0.446,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,muon,mlp,2,128,mnist,2,0.8707932692307693,0.446,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,euclid,mlp,2,128,mnist,0,0.2981770833333333,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,euclid,mlp,2,128,mnist,1,0.29627403846153844,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,euclid,mlp,2,128,mnist,2,0.3821113782051282,0.0,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,muon,mlp,2,128,mnist,0,0.8724959935897436,0.446,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,muon,mlp,2,128,mnist,1,0.8713942307692307,0.446,projected_pseudo,null,promoted,w1_credit_ladder.log
fa,muon,mlp,2,128,mnist,2,0.8761017628205128,0.446,projected_pseudo,null,promoted,w1_credit_ladder.log
bp,ortho,mlp,2,128,mnist,0,0.9120592948717948,0.0,exact_gradient,null,promoted,w1_credit_ladder_lion.log
bp,ortho,mlp,2,128,mnist,1,0.9129607371794872,0.0,exact_gradient,null,promoted,w1_credit_ladder_lion.log
bp,ortho,mlp,2,128,mnist,2,0.9151642628205128,0.0,exact_gradient,null,promoted,w1_credit_ladder_lion.log
ff,ortho,mlp,2,128,mnist,0,0.9202724358974359,0.0,goodness_contrast,null,promoted,w1_credit_ladder_lion.log
ff,ortho,mlp,2,128,mnist,1,0.9163661858974359,0.0,goodness_contrast,null,promoted,w1_credit_ladder_lion.log
ff,ortho,mlp,2,128,mnist,2,0.9178685897435898,0.0,goodness_contrast,null,promoted,w1_credit_ladder_lion.log
pepita,ortho,mlp,2,128,mnist,0,0.2530048076923077,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
pepita,ortho,mlp,2,128,mnist,1,0.20793269230769232,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
pepita,ortho,mlp,2,128,mnist,2,0.25560897435897434,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,0,0.7592147435897436,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,1,0.7481971153846154,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,2,0.7621193910256411,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,0,0.7813501602564102,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,1,0.7727363782051282,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,2,0.7867588141025641,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,euclid,mlp,2,128,mnist,0,0.27624198717948717,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,euclid,mlp,2,128,mnist,1,0.2620192307692308,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,euclid,mlp,2,128,mnist,2,0.38752003205128205,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,muon,mlp,2,128,mnist,0,0.8744991987179487,0.436,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,muon,mlp,2,128,mnist,1,0.8773036858974359,0.436,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,muon,mlp,2,128,mnist,2,0.8622796474358975,0.436,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,0,0.46374198717948717,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,1,0.44320913461538464,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,ortho,mlp,2,128,mnist,2,0.48387419871794873,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
bp,lion,mlp,2,128,mnist,0,0.8620793269230769,0.0,exact_gradient,null,promoted,w1_credit_ladder_lion.log
bp,lion,mlp,2,128,mnist,1,0.8483573717948718,0.0,exact_gradient,null,promoted,w1_credit_ladder_lion.log
bp,lion,mlp,2,128,mnist,2,0.8793068910256411,0.0,exact_gradient,null,promoted,w1_credit_ladder_lion.log
ff,lion,mlp,2,128,mnist,0,0.8957331730769231,0.0,goodness_contrast,null,promoted,w1_credit_ladder_lion.log
ff,lion,mlp,2,128,mnist,1,0.8969350961538461,0.0,goodness_contrast,null,promoted,w1_credit_ladder_lion.log
ff,lion,mlp,2,128,mnist,2,0.8833133012820513,0.0,goodness_contrast,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,0,0.7926682692307693,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,1,0.8152043269230769,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,2,0.7680288461538461,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,0,0.7926682692307693,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,1,0.8152043269230769,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,2,0.7680288461538461,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,0,0.7926682692307693,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,1,0.8151041666666666,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
fa,lion,mlp,2,128,mnist,2,0.7680288461538461,0.0,projected_pseudo,null,promoted,w1_credit_ladder_lion.log
bp,ortho,mlp,2,128,mnist,0,0.9120592948717948,0.0,exact_gradient,null,promoted,w1_credit_ladder_ext.log
bp,ortho,mlp,2,128,mnist,1,0.9129607371794872,0.0,exact_gradient,null,promoted,w1_credit_ladder_ext.log
bp,ortho,mlp,2,128,mnist,2,0.9151642628205128,0.0,exact_gradient,null,promoted,w1_credit_ladder_ext.log
ff,ortho,mlp,2,128,mnist,0,0.9202724358974359,0.0,goodness_contrast,null,promoted,w1_credit_ladder_ext.log
ff,ortho,mlp,2,128,mnist,1,0.9163661858974359,0.0,goodness_contrast,null,promoted,w1_credit_ladder_ext.log
ff,ortho,mlp,2,128,mnist,2,0.9178685897435898,0.0,goodness_contrast,null,promoted,w1_credit_ladder_ext.log
pepita,ortho,mlp,2,128,mnist,0,0.2530048076923077,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
pepita,ortho,mlp,2,128,mnist,1,0.20793269230769232,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
pepita,ortho,mlp,2,128,mnist,2,0.25560897435897434,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,0,0.7592147435897436,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,1,0.7481971153846154,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,2,0.7621193910256411,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,0,0.7813501602564102,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,1,0.7727363782051282,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,2,0.7867588141025641,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,euclid,mlp,2,128,mnist,0,0.27624198717948717,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,euclid,mlp,2,128,mnist,1,0.2620192307692308,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,euclid,mlp,2,128,mnist,2,0.38752003205128205,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,muon,mlp,2,128,mnist,0,0.8744991987179487,0.058,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,muon,mlp,2,128,mnist,1,0.8773036858974359,0.058,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,muon,mlp,2,128,mnist,2,0.8622796474358975,0.058,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,0,0.46374198717948717,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,1,0.44320913461538464,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
fa,ortho,mlp,2,128,mnist,2,0.48387419871794873,0.0,projected_pseudo,null,promoted,w1_credit_ladder_ext.log
bp,euclid,lattice,2,128,mnist,0,0.7966746794871795,0.0,exact_gradient,null,boundary,w1_lattice_ladder.log
bp,euclid,lattice,2,128,mnist,1,0.793770032051282,0.0,exact_gradient,null,boundary,w1_lattice_ladder.log
bp,euclid,lattice,2,128,mnist,2,0.8399439102564102,0.0,exact_gradient,null,boundary,w1_lattice_ladder.log
ff,euclid,lattice,2,128,mnist,0,0.8353365384615384,0.0,goodness_contrast,null,boundary,w1_lattice_ladder.log
ff,euclid,lattice,2,128,mnist,1,0.8490584935897436,0.0,goodness_contrast,null,boundary,w1_lattice_ladder.log
ff,euclid,lattice,2,128,mnist,2,0.8463541666666666,0.0,goodness_contrast,null,boundary,w1_lattice_ladder.log
pepita,euclid,lattice,2,128,mnist,0,0.09735576923076923,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
pepita,euclid,lattice,2,128,mnist,1,0.03806089743589743,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
pepita,euclid,lattice,2,128,mnist,2,0.07802483974358974,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,0,0.07431891025641026,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,1,0.10136217948717949,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,2,0.1307091346153846,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,0,0.07431891025641026,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,1,0.10136217948717949,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,2,0.1307091346153846,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,0,0.07431891025641026,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,1,0.10136217948717949,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,euclid,lattice,2,128,mnist,2,0.1307091346153846,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
bp,muon,lattice,2,128,mnist,0,0.9004407051282052,0.0,exact_gradient,null,boundary,w1_lattice_ladder.log
bp,muon,lattice,2,128,mnist,1,0.9088541666666666,0.0,exact_gradient,null,boundary,w1_lattice_ladder.log
bp,muon,lattice,2,128,mnist,2,0.9071514423076923,0.0,exact_gradient,null,boundary,w1_lattice_ladder.log
ff,muon,lattice,2,128,mnist,0,0.8682892628205128,0.0,goodness_contrast,null,boundary,w1_lattice_ladder.log
ff,muon,lattice,2,128,mnist,1,0.8614783653846154,0.0,goodness_contrast,null,boundary,w1_lattice_ladder.log
ff,muon,lattice,2,128,mnist,2,0.8828125,0.0,goodness_contrast,null,boundary,w1_lattice_ladder.log
pepita,muon,lattice,2,128,mnist,0,0.19040464743589744,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
pepita,muon,lattice,2,128,mnist,1,0.29697516025641024,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
pepita,muon,lattice,2,128,mnist,2,0.15374599358974358,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
fa,muon,lattice,2,128,mnist,0,0.09415064102564102,0.0,projected_pseudo,null,boundary,w1_lattice_ladder.log
